unique_id,beschrijvende_id,volledige_naam,Ident_8,lve_nr,Kmp_Rsys,Rijstrook,X_EPSG_31370,Y_EPSG_31370,Lon_EPSG_4326,Lat_EPSG_4326
2344,H192L30,E313 Spitsstrook kmpt. 0,4,R0010411,365,1.3,R11,155874.9125,211775.6141,4.452837543,51.21590223
1012,H192L10,complex Melle (6),R0040001,124,27.289,R10,109234.3609,188990.143,3.787889208,51.968858
2343,H192L20,E313 Spitsstrook kmpt. 0,4,R0010411,365,1.3,R10,155874.9125,211775.6141,4.452837543,51.21590223
3674,S221L10,Knooppunt Heverlee Oostkant,A0039402,253,19.86,R10,169942.963,171668.7505,4.651967779,50.85506935
3675,S207L10,Knooppunt Heverlee Oostkant,A0035021,253,0,R10,169934.7487,171658.6015,4.651862879,50.85497837
3676,S222L10,Knooppunt Heverlee Oostkant,A0035031,253,1.359,R10,169896.7289,171619.3371,4.651320805,50.85462671
3677,S208L10,Knooppunt Heverlee Oostkant,A0031011,253,0.114,R10,169899.5669,171621.4167,4.651361222,50.8546453
3678,H292L10,Halve snede kmpt. 98.2,A0140001,493,98.193,R09,147131.9519,210559.8781,4.327719894,51.20499817
3679,H292L20,Halve snede kmpt. 98.2,A0140001,493,98.193,R10,147131.9519,210559.8781,4.327719894,51.20499817
3690,S206L20,Halve snede kmpt. 14,9,R0011261,495,0.744,R11,149511.3675,211464.9863,4.361764434,51.21314039
3691,H292L10,Halve snede kmpt. 14,6,R0010002,496,14.669,R10,149761.8249,211228.9487,4.36534883,51.21101892
3692,H292L20,Halve snede kmpt. 14,6,R0010002,496,14.669,R11,149761.8249,211228.9487,4.36534883,51.21101892
3693,H292L30,Halve snede kmpt. 14,6,R0010002,496,14.669,R12,149761.8249,211228.9487,4.36534883,51.21101892
3694,H292L40,Halve snede kmpt. 14,6,R0010002,496,14.669,R13,149761.8249,211228.9487,4.36534883,51.21101892
3695,H122L00,Snede Herent  Winksele,A0020001,226,82.422,R09,171832.8829,175646.1071,4.679056809,50.89075522
1033,S192L30,complex Deinze (7),A0140001,126,35.298,R12,93261.2903,182950.7219,3.561241143,50.95406169
2364,H192L20,E313 Spitsstrook kmpt. 2,730,A0130001,370,2.687,R11,157831.5465,211192.9097,4.480827705,51.21064126
1032,S192L20,complex Deinze (7),A0140001,126,35.298,R11,93261.2903,182950.7219,3.561241143,50.95406169
2363,H192L10,E313 Spitsstrook kmpt. 2,730,A0130001,370,2.687,R10,157831.5465,211192.9097,4.480827705,51.21064126
1031,S192L10,complex Deinze (7),A0140001,126,35.298,R10,93261.2903,182950.7219,3.561241143,50.95406169
2362,H192L00,E313 Spitsstrook kmpt. 2,730,A0130001,370,2.687,S09,157831.5465,211192.9097,4.480827705,51.21064126
